sex,age,type of adjustment,contents,month,value
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2006M01,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2006M02,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2006M03,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2006M04,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2006M05,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2006M06,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2006M07,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2006M08,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2006M09,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2006M10,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2006M11,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2006M12,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2007M01,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2007M02,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2007M03,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2007M04,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2007M05,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2007M06,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2007M07,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2007M08,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2007M09,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2007M10,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2007M11,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2007M12,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2008M01,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2008M02,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2008M03,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2008M04,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2008M05,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2008M06,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2008M07,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2008M08,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2008M09,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2008M10,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2008M11,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2008M12,
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2009M01,71.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2009M02,71.6
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2009M03,71.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2009M04,71.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2009M05,71.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2009M06,70.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2009M07,70.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2009M08,70.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2009M09,70.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2009M10,70.2
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2009M11,70.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2009M12,70.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2010M01,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2010M02,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2010M03,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2010M04,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2010M05,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2010M06,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2010M07,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2010M08,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2010M09,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2010M10,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2010M11,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2010M12,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2011M01,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2011M02,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2011M03,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2011M04,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2011M05,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2011M06,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2011M07,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2011M08,69.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2011M09,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2011M10,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2011M11,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2011M12,69.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2012M01,69.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2012M02,70.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2012M03,70.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2012M04,69.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2012M05,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2012M06,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2012M07,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2012M08,69.6
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2012M09,69.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2012M10,69.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2012M11,69.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2012M12,69.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2013M01,69.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2013M02,69.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2013M03,69.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2013M04,69.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2013M05,69.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2013M06,69.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2013M07,69.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2013M08,69.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2013M09,69.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2013M10,69.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2013M11,69.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2013M12,69.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2014M01,69.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2014M02,69.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2014M03,69.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2014M04,69.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2014M05,69.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2014M06,69.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2014M07,68.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2014M08,68.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2014M09,68.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2014M10,68.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2014M11,68.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2014M12,68.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2015M01,68.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2015M02,68.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2015M03,68.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2015M04,68.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2015M05,68.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2015M06,68.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2015M07,68.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2015M08,68.6
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2015M09,68.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2015M10,68.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2015M11,68.2
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2015M12,68.2
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2016M01,68.2
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2016M02,68.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2016M03,68.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2016M04,68.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2016M05,67.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2016M06,67.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2016M07,67.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2016M08,67.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2016M09,67.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2016M10,67.6
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2016M11,67.6
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2016M12,67.6
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2017M01,67.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2017M02,67.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2017M03,67.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2017M04,67.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2017M05,67.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2017M06,67.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2017M07,67.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2017M08,67.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2017M09,67.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2017M10,67.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2017M11,67.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2017M12,67.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2018M01,67.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2018M02,67.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2018M03,68.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2018M04,68.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2018M05,68.2
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2018M06,68.2
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2018M07,68.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2018M08,68.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2018M09,68.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2018M10,68.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2018M11,68.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2018M12,68.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2019M01,68.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2019M02,68.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2019M03,68.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2019M04,68.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2019M05,68.6
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2019M06,68.6
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2019M07,68.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2019M08,68.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2019M09,68.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2019M10,68.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2019M11,68.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2019M12,68.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2020M01,68.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2020M02,68.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2020M03,68.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2020M04,68.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2020M05,67.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2020M06,67.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2020M07,67.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2020M08,67.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2020M09,67.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2020M10,67.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2020M11,68.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2020M12,67.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2021M01,67.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2021M02,67.6
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2021M03,67.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2021M04,68.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2021M05,68.6
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2021M06,68.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2021M07,69.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2021M08,69.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2021M09,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2021M10,69.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2021M11,70.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2021M12,69.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2022M01,70.2
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2022M02,70.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2022M03,70.6
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2022M04,70.5
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2022M05,70.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2022M06,70.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2022M07,70.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2022M08,70.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2022M09,70.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2022M10,70.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2022M11,70.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2022M12,69.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2023M01,70.0
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2023M02,70.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2023M03,70.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2023M04,70.2
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2023M05,70.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2023M06,70.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2023M07,70.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2023M08,70.4
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2023M09,70.3
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2023M10,70.2
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2023M11,70.2
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2023M12,70.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2024M01,70.1
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2024M02,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2024M03,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2024M04,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2024M05,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2024M06,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2024M07,69.7
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2024M08,69.8
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2024M09,69.9
Both sexes,15-74 years,Trend,Employed persons in per cent of the population,2024M10,69.9
