sex,age,type of adjustment,contents,month,value
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2018M08,115
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2018M09,114
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2018M10,113
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2018M11,112
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2018M12,111
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2019M01,110
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2019M02,109
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2019M03,109
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2019M04,109
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2019M05,109
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2019M06,110
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2019M07,111
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2019M08,112
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2019M09,113
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2019M10,114
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2019M11,114
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2019M12,114
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2020M01,114
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2020M02,113
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2020M03,111
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2020M04,119
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2020M05,133
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2020M06,150
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2020M07,154
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2020M08,157
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2020M09,154
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2020M10,154
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2020M11,150
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2020M12,144
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2021M01,144
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2021M02,140
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2021M03,141
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2021M04,143
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2021M05,146
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2021M06,145
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2021M07,131
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2021M08,122
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2021M09,111
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2021M10,111
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2021M11,107
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2021M12,103
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2022M01,96
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2022M02,95
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2022M03,93
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2022M04,92
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2022M05,93
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2022M06,93
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2022M07,94
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2022M08,95
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2022M09,96
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2022M10,97
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2022M11,98
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2022M12,100
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2023M01,101
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2023M02,102
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2023M03,103
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2023M04,104
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2023M05,104
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2023M06,105
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2023M07,105
Both sexes,15-74 years,Trend,Unemployment (LFS) (1000 persons),2023M08,106
