industry (SIC2007),Total,Primary and lower secondary,Upper secondary education,Undergraduate,Postgraduate
Accommodation and food service activities,40440,35860,43850,45520,45000
Administrative and support service activities,51270,42870,51230,58840,70640
"Agriculture, forestry and fishing",52410,43590,55210,63940,78490
Construction,53120,41770,55320,69550,84100
Education,55200,35610,46430,54440,60240
"Electricity, water supply, sewerage, waste management",65480,44640,57230,77020,95290
Financial and insurance activities,81010,60480,67420,79310,97130
Human health and social work activities,53530,37460,44440,52850,77000
Information and communication,73920,59460,67940,72900,83670
Manufacture,57170,44100,55060,69570,84650
Mining and quarrying,87190,57100,76460,95550,114960
Other service activities,53280,40490,49630,56930,64200
"Public adm., defence, soc. security",61810,43900,55990,61790,69180
"Real estate, professional, scientific and technical activities",70640,52750,62880,69680,79600
Transportation and storage,55890,45560,55930,69640,84180
Wholesale and retail trade: repair of motor vehicles and motorcycles,54210,45210,53370,63200,75380
