kjønn,alder,statistikkvariabel,måned,value
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2016M12,4.2
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2017M01,4.1
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2017M02,4.3
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2017M03,4.5
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2017M04,4.5
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2017M05,4.5
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2017M06,4.3
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2017M07,4.2
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2017M08,4.1
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2017M09,4.0
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2017M10,3.9
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2017M11,4.0
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2017M12,4.0
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2018M01,4.0
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2018M02,3.9
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2018M03,3.9
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2018M04,3.8
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2018M05,3.9
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2018M06,3.8
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2018M07,4.0
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2018M08,4.0
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2018M09,3.9
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2018M10,3.9
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2018M11,3.7
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2018M12,3.7
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2019M01,3.8
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2019M02,3.8
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2019M03,3.6
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2019M04,3.3
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2019M05,3.4
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2019M06,3.6
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2019M07,3.8
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2019M08,3.7
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2019M09,3.9
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2019M10,3.8
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2019M11,4.0
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2019M12,3.9
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2020M01,3.7
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2020M02,3.5
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2020M03,3.6
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2020M04,4.1
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2020M05,4.6
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2020M06,5.2
